# Individual alphabet characters
niang4	n iang4
niang5	n iang4
niao1	n iao1
niao2	n iao2
niao3	n iao3
niao4	n iao4
niao5	n iao4
nie1	n ie1
nie2	n ie2
nie3	n ie3
nie4	n ie4
nie5	n ie4
nin1	n in1
nin2	n in2
nin3	n in3
nin4	n in4
nin5	n in4
ning1	n ing1
ning2	n ing2
ning3	n ing3
ning4	n ing4
ning5	n ing4
niu1	n iou1
niu2	n iou2
niu3	n iou3
niu4	n iou4
niu5	n iou4
nong1	n ong1
nong2	n ong2
nong3	n ong3
nong4	n ong4
nong5	n ong4
nou1	n ou1
nou2	n ou2
nou3	n ou3
nou4	n ou4
nou5	n ou4
nu1	n u1
nu2	n u2
nu3	n u3
nu4	n u4
nu5	n u4
nuan1	n uan1
nuan2	n uan2
nuan3	n uan3
nuan4	n uan4
nuan5	n uan4
nun2	n uen2
nuo1	n uo1
nuo2	n uo2
nuo3	n uo3
nuo4	n uo4
nuo5	n uo4
nv1	n yv1
nv2	n yv2
nv3	n yv3
nv4	n yv4
nv5	n yv4
nve4	n yve4
o1	o1
o2	o2
o3	o3
o4	o4
o5	o4
ou1	ou1
ou2	ou2
ou3	ou3
ou4	ou4
ou5	ou4
pa1	p a1
pa2	p a2
pa3	p a3
pa4	p a4
pa5	p a4
pai1	p ai1
pai2	p ai2
pai3	p ai3
pai4	p ai4
pai5	p ai4
pan1	p an1
pan2	p an2
pan3	p an3
pan4	p an4
pan5	p an4
pang1	p ang1
pang2	p ang2
pang3	p ang3
pang4	p ang4
pang5	p ang4
pao1	p ao1
pao2	p ao2
pao3	p ao3
pao4	p ao4
pao5	p ao4
pei1	p ei1
pei2	p ei2
pei3	p ei3
pei4	p ei4
pei5	p ei4
pen1	p en1
pen2	p en2
pen3	p en3
pen4	p en4
pen5	p en4
peng1	p eng1
peng2	p eng2
peng3	p eng3
peng4	p eng4
peng5	p eng4
pi1	p i1
pi2	p i2
pi3	p i3
pi4	p i4
pi5	p i4
pian1	p ian1
pian2	p ian2
pian3	p ian3
pian4	p ian4
pian5	p ian4
piao1	p iao1
piao2	p iao2
piao3	p iao3
piao4	p iao4
piao5	p iao4
pie1	p ie1
pie2	p ie2
pie3	p ie3
pie4	p ie4
pie5	p ie4
pin1	p in1
pin2	p in2
pin3	p in3
pin4	p in4
ping1	p ing1
ping2	p ing2
ping3	p ing3
ping4	p ing4
ping5	p ing4
po1	p o1
po2	p o2
po3	p o3
po4	p o4
po5	p o4
pou1	p ou1
pou2	p ou2
pou3	p ou3
pou4	p ou4
pou5	p ou4
pu1	p u1
pu2	p u2
pu3	p u3
pu4	p u4
pu5	p u4
qi1	q i1
qi2	q i2
qi3	q i3
qi4	q i4
qi5	q i4
qia1	q ia1
qia2	q ia2
qia3	q ia3
qia4	q ia4
qia5	q ia4
qian1	q ian1
qian2	q ian2
qian3	q ian3
qian4	q ian4
qian5	q ian4
qiang1	q iang1
qiang2	q iang2
qiang3	q iang3
qiang4	q iang4
qiang5	q iang4
qiao1	q iao1
qiao2	q iao2
qiao3	q iao3
qiao4	q iao4
qiao5	q iao4
qie1	q ie1
qie2	q ie2
qie3	q ie3
qie4	q ie4
